
pLength=12;
tLength=6;
capacityTruck=500;
xTruck=12;
yTruck=10;
package_x=[4 2 2 4 4 6 9 4 9 10 7 3];
package_y=[8 4 8 5 6 3 8 2 7 6 6 2];
packageWeight=[255 65 133 40 397 26 175 251 375 283 183 68];
incomp=[
  [0 0 0 0 0 0 0 0 0 0 0 0]
  [0 0 0 0 0 0 0 0 0 0 0 0]
  [0 0 0 0 0 0 0 0 0 0 0 0]
  [0 0 0 0 0 0 0 0 0 0 0 0]
  [0 0 0 0 0 0 0 0 0 0 0 0]
  [0 0 0 0 0 0 0 0 0 0 0 0]
  [0 0 0 0 0 0 0 0 0 0 0 0]
  [0 0 0 0 0 0 0 0 0 0 0 0]
  [0 0 0 0 0 0 0 0 0 0 0 0]
  [0 0 0 0 0 0 0 0 0 0 0 0]
  [0 0 0 0 0 0 0 0 0 0 0 0]
  [0 0 0 0 0 0 0 0 0 0 0 0]
];
  
